Time,/fdm/jsbsim/attitude/phi-rad,/fdm/jsbsim/attitude/theta-rad,/fdm/jsbsim/attitude/psi-rad,/fdm/jsbsim/attitude/roll-rad,/fdm/jsbsim/attitude/pitch-rad,/fdm/jsbsim/attitude/heading-true-rad,/fdm/jsbsim/flight-path/gamma-rad,/fdm/jsbsim/attitude/phi-deg,/fdm/jsbsim/attitude/theta-deg,/fdm/jsbsim/attitude/psi-deg,/fdm/jsbsim/flight-path/gamma-deg
23.5999056,0.0782098077587601581,0.0873357228026963583,3.19108555260253413,0.0782098077587601581,0.0873357228026963583,3.19108555260253413,0.0380278020069979988,4.48109190110647759,5.00396831731896707,182.835734229297259,2.17883255916010699
23.6499054,0.0790572919933197477,0.0858865533673941195,3.19260848393111285,0.0790572919933197477,0.0858865533673941195,3.19260848393111285,0.0364968317909331874,4.52964917095061637,4.92093702487679163,182.922991766913071,2.09111442721936136
23.6999052,0.0798564495041164529,0.0844101031141681474,3.19415445046916791,0.0798564495041164529,0.0844101031141681474,3.19415445046916791,0.0349432739361806091,4.57543752348544874,4.83634265670592178,183.01156912481207,2.00210211891264045
23.749905,0.0806078729789236753,0.0829072445946839875,3.19572258956037736,0.0806078729789236753,0.0829072445946839875,3.19572258956037736,0.0333680519194474862,4.61849091721895721,4.75023520633420038,183.101416876427862,1.91184854555774653
23.7999048,0.0813121591901780211,0.0813788717540050027,3.19731203951895715,0.0813121591901780211,0.0813788717540050027,3.19731203951895715,0.0317721047286901245,4.6588435446930907,4.66266589304087375,183.192485650801729,1.82040750720158973
23.8499046,0.0819699088423734984,0.0798258992801507417,3.19892193958061632,0.0819699088423734984,0.0798258992801507417,3.19892193958061632,0.0301563861034842944,4.69652982374008943,4.57368712458903381,183.28472612977265,1.72783364909661596
23.8999044,0.0825817264265551326,0.0782492619219495172,3.20055142988029884,0.0825817264265551326,0.0782492619219495172,3.20055142988029884,0.0285218637617952325,4.73158438914558666,4.48335245814144745,183.378089046701973,1.63418241739799242
23.9499042,0.0831482200812637962,0.0766499137757516991,3.20219965145574337,0.0831482200812637962,0.0766499137757516991,3.20219965145574337,0.0268695186137038085,4.76404208468133472,4.3917165593922407,183.472525186677331,1.5395100141134348
23.999904,0.0836700014593073221,0.0750288275416950007,3.20386574627591836,0.0836700014593073221,0.0750288275416950007,3.20386574627591836,0.0252003439627159209,4.7939379554717485,4.29883515995403531,183.567985388141977,1.44387335134160666
24.0499038,0.0841476855997522893,0.0733869937503076192,3.20554885729339478,0.0841476855997522893,0.0733869937503076192,3.20554885729339478,0.0235153446953324727,4.82130724065957939,4.20476501304557537,183.664420545895325,1.34733000483789933
24.0999036,0.0845818908045522788,0.0717254199603570286,3.20724812851974628,0.0845818908045522788,0.0717254199603570286,3.20724812851974628,0.0218155364596198387,4.84618536633723274,4.10956384753185056,183.761781615413298,1.24993816694998672
24.1499034,0.0849732385192469158,0.0700451299289366058,3.20896270512308712,0.0849732385192469158,0.0700451299289366058,3.20896270512308712,0.0201019448335578825,4.86860793871132547,4.01329032037355571,183.86001961843661,1.15175659896767679
24.1999032,0.0853223532171878685,0.0683471627548937477,3.2106917335468883,0.0853223532171878685,0.0683471627548937477,3.2106917335468883,0.0183756044840229921,4.88861073746932639,3.91600396754914426,183.959085649778558,1.05284458293618832
24.249903,0.0856298622867647102,0.0666325719967864882,3.21243436164923279,0.0856298622867647102,0.0666325719967864882,3.21243436164923279,0.0166375583172655925,4.90622970931807423,3.81776515351746237,184.058930885303795,0.953261872982098302
24.2999028,0.0858963959211247602,0.0649024247666462606,3.21418973886171111,0.0858963959211247602,0.0649024247666462606,3.21418973886171111,0.0148888566218232602,4.92150096166518836,3.71863501929417772,184.159506591032255,0.853068646205881187
24.3499026,0.086122587009898402,0.0631578008009132108,3.21595701636718134,0.086122587009898402,0.0631578008009132108,3.21595701636718134,0.0131305562048171526,4.93446075641538684,3.61867542922029761,184.260764133324102,0.752325453195338612
24.3999024,0.0863090710325718491,0.0613997915148864759,3.21773534729607702,0.0863090710325718491,0.0613997915148864759,3.21773534729607702,0.0113637174746567902,4.94514550386119733,3.51794891678615818,184.362654990127396,0.651093050876896062
24.4499022,0.0864564859637963617,0.05962949917929216,3.2195238869538616,0.0864564859637963617,0.05962949917929216,3.2195238869538616,0.00958938915964361281,4.95359175725757339,3.41651863745224693,184.46513076401024,0.549431526956082217
24.499902,0.0865654721649483649,0.0578480351464752407,3.22132179298482724,0.0865654721649483649,0.0578480351464752407,3.22132179298482724,0.007808641246964447,4.95983620660874625,3.31444826701748241,184.568143191545687,0.447402187182835143
24.5499018,0.086636672260705247,0.0560565186019633885,3.2231282255888738,0.086636672260705247,0.0560565186019633885,3.2231282255888738,0.00602255020498247175,4.9639156715965429,3.21180193008909187,184.671644155732366,0.345066708651144471
24.5999016,0.0866707310430099576,0.0542560759263382431,3.22494234780949363,0.0866707310430099576,0.0542560759263382431,3.22494234780949363,0.00423219402251064601,4.96586709607795829,3.10864416352052952,184.775585702494794,0.242486855570354931
