Time,/fdm/jsbsim/position/h-sl-ft,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-geod-rad,/fdm/jsbsim/position/lat-geod-deg,/fdm/jsbsim/position/lat-gc-rad,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-rad,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/geod-alt-ft,/fdm/jsbsim/position/terrain-elevation-asl-ft,/fdm/jsbsim/position/distance-from-start-lon-mt,/fdm/jsbsim/position/distance-from-start-lat-mt,/fdm/jsbsim/position/distance-from-start-mag-mt,/fdm/jsbsim/ap/active-waypoint,/fdm/jsbsim/position/ned-x-relto-field-wp-ft,/fdm/jsbsim/position/ned-y-relto-field-wp-ft,/fdm/jsbsim/position/ned-z-relto-field-wp-ft,/fdm/jsbsim/position/ned-h-relto-field-wp-ft,/fdm/jsbsim/guidance/wp-distance,/fdm/jsbsim/guidance/field-wp-distance,/fdm/jsbsim/position/ned-x-relto-field-wp-m,/fdm/jsbsim/position/ned-y-relto-field-wp-m,/fdm/jsbsim/position/ned-z-relto-field-wp-m,/fdm/jsbsim/position/ned-h-relto-field-wp-m,/fdm/jsbsim/guidance/target-wp-latitude-rad-ONE,/fdm/jsbsim/guidance/target-wp-longitude-rad-ONE,/fdm/jsbsim/guidance/target-field-wp-latitude-rad,/fdm/jsbsim/guidance/target-field-wp-longitude-rad,/fdm/jsbsim/position/h-agl-m
1.1999952,450.882071167230606,137.428855291771896,450.882071167230606,0.930610308285957477,53.320043036153784,0.927396427488416997,53.1359012305965805,0.142502508615503454,8.16479231369499914,45441.0501503798587,0,0.385858854761407188,30.8504351363981897,30.8528480727551759,1,16723414.7498329878,1780927.72667505406,8489422.88094424643,-8489422.88094424643,19564968.6108986028,19564968.6108986028,5097296.81574909482,542826.771090556518,2587576.09411180625,-2587576.09411180625,0,0,0,0,137.428855304262015
1.249995,450.789937615394592,137.400772985172267,450.789937615394592,0.930610509201497793,53.3200545477662828,0.92739662877370721,53.1359127633941881,0.142502494506195176,8.16479150529118414,45440.9715545170548,0,0.439846577071408062,32.1342602934637327,32.1372703931052754,1,16723417.2002209574,1780927.06562220072,8489426.2425860092,-8489426.2425860092,19564972.7255216017,19564972.7255216017,5097297.56262734812,542826.569601646857,2587577.1187402159,-2587577.1187402159,0,0,0,0,137.400772997662443
1.2999948,450.695866405963898,137.372100080537791,450.695866405963898,0.930610710074075809,53.3200660569172271,0.927396830015655871,53.1359242937085057,0.142502479239203061,8.16479063055697019,45440.8910180882885,0,0.49826404975069094,33.4178090121691937,33.4215233719585143,1,16723419.6485144906,1780926.39013712551,8489429.60259969532,-8489429.60259969532,19564976.8366866261,19564976.8366866261,5097298.30886721704,542826.363713795901,2587578.14287238708,-2587578.14287238708,0,0,0,0,137.372100094163386
1.3499946,450.599786557257175,137.342814942651984,450.599786557257175,0.930610910900194321,53.3200775634062296,0.927397031210748346,53.1359358213381654,0.142502462780490058,8.1647896875421786,45440.8084698845269,0,0.561241511845644525,34.701058875703616,34.7055971976308157,1,16723422.094612712,1780925.69979964313,8489432.96090865508,-8489432.96090865508,19564980.94424586,19564980.94424586,5097299.05443795491,542826.153298931196,2587579.16648495803,-2587579.16648495803,0,0,0,0,137.342814956277579
1.3999944,450.501630589365959,137.312897003638739,450.501630589365959,0.930611111676252989,53.3200890670270198,0.927397232355366974,53.1359473460758807,0.142502445096784613,8.16478867434049072,45440.72384216723,0,0.628906273305461228,35.9839868101248825,35.9894821701559806,1,16723424.5384162683,1780924.99419961544,8489436.31743383221,-8489436.31743383221,19564985.0480510667,19564985.0480510667,5097299.79930927884,542825.938232042827,2587580.18955383217,-2587580.18955383217,0,0,0,0,137.31289701499341
1.4499942,450.401333700865507,137.282326512023815,450.401333700865507,0.930611312398553436,53.3201005675676925,0.927397433445796282,53.13595886770878,0.142502426155533657,8.1647875890867514,45440.6370699000327,0,0.701382894891152131,37.2665691176411755,37.2731687401536149,1,16723426.9798267353,1780924.27293628594,8489439.67209421284,-8489439.67209421284,19564989.1479536071,19564989.1479536071,5097300.54345118906,542825.718390980037,2587581.21205431642,-2587581.21205431642,0,0,0,0,137.282326524513934
1.499994,450.298833761364222,137.251084530463828,450.298833761364222,0.930611513063301699,53.3201120648108642,0.927397634478225652,53.1359703860185277,0.14250240592484606,8.16478642995373605,45440.5480906946468,0,0.778793404512422183,38.5487814936057447,38.5566475321705582,1,16723429.4187466148,1780923.53561756574,8489443.02480682731,-8489443.02480682731,19564993.2438043058,19564993.2438043058,5097301.28683396801,542825.493656234117,2587582.23396112118,-2587582.23396112118,0,0,0,0,137.251084544089423
1.5499938,450.194071441888809,137.219152975487702,450.194071441888809,0.930611713666610996,53.3201235585338438,0.927397835448751873,53.1359819007814878,0.142502384373434848,8.16478519514883061,45440.4568449431608,0,0.861257518343708561,39.8305990428035059,39.839909367918267,1,16723431.8550794832,1780922.78185932408,8489446.37548657693,-8489446.37548657693,19564997.3354534507,19564997.3354534507,5097302.02942822687,542825.263910721987,2587583.25524830865,-2587583.25524830865,0,0,0,0,137.21915298797785
1.5999936,450.086989901959896,137.186514522117392,450.086989901959896,0.930611914204504731,53.3201350485087886,0.927398036353381694,53.1359934117688653,0.14250236147057152,8.16478388291142387,45440.3632755602375,0,0.948892815635420273,41.1119962957377751,41.1229452891742113,1,16723434.2887298055,1780922.01128479093,8489449.72404638492,-8489449.72404638492,19565001.4227507226,19565001.4227507226,5097302.77120484505,542825.029039604357,2587584.27588933846,-2587584.27588933846,0,0,0,0,137.186514534607539
1.6499934,449.977534484118223,137.153152510759242,449.977534484118223,0.930612114672917601,53.3201465345027685,0.927398237188033936,53.1360049187468135,0.142502337186043576,8.16478249151046498,45440.267327600639,0,1.04181490120555331,42.3929472220844374,42.4057465780534457,1,16723436.7196026631,1780921.22352399537,8489453.07039734349,-8489453.07039734349,19565005.5055450946,19565005.5055450946,5097303.51213489193,542824.788930113777,2587585.29585711053,-2587585.29585711053,0,0,0,0,137.153152523249389
