Time,/fdm/jsbsim/accelerations/pdot-rad_sec2,/fdm/jsbsim/accelerations/qdot-rad_sec2,/fdm/jsbsim/accelerations/rdot-rad_sec2,/fdm/jsbsim/accelerations/udot-ft_sec2,/fdm/jsbsim/accelerations/vdot-ft_sec2,/fdm/jsbsim/accelerations/wdot-ft_sec2,/fdm/jsbsim/accelerations/Ny,/fdm/jsbsim/accelerations/Nz,/fdm/jsbsim/accelerations/n-pilot-x-norm,/fdm/jsbsim/accelerations/n-pilot-y-norm,/fdm/jsbsim/accelerations/n-pilot-z-norm
32.4498702,0.00380432864414905056,-0.00358503724766616114,-0.00165135182827853442,-0.98397303919854906,0.0543539066404143956,0.0634538243200211127,0.00279961934273295935,1.06825159661994551,0.0226071569191033557,0.00287766192952216854,-1.06819106437415123
32.49987,0.00375923765927286971,-0.00382024128697491718,-0.00158732205679996225,-1.02304680433648176,0.0571746285564947998,0.06453879547474628,0.00277523694038858378,1.06762318085969388,0.0227699469320352399,0.00285298865246358347,-1.06756030661632773
32.5498698,0.00371322985133796255,-0.00405340839091212091,-0.00152347126107530285,-1.06159802088364685,0.0599611050605601825,0.0656090105126594381,0.00275025533887279143,1.06696175726890252,0.0229381473244996935,0.00282768580747327263,-1.06689657654770631
32.5998696,0.00366633041106276172,-0.00428446519764058651,-0.00145982708126665673,-1.09961096849232942,0.0627109224911991392,0.0666643019450674501,0.00272468782240869534,1.0662677858316012,0.0231116738871739308,0.00280176691329790976,-1.06620033451929208
32.6498694,0.00361856541136878216,-0.00451333875057301562,-0.00139641855001688443,-1.13707018946993843,0.0654218127506637215,0.0677045001857905504,0.00269854827089353313,1.06554174218484521,0.0232904400306069848,0.00277524610087718799,-1.06547205651113486
32.6998692,0.00356996180090836173,-0.00473995649493972986,-0.00133327587257410789,-1.1739604924975231,0.0680916579614778694,0.0687294328636873786,0.00267185110848715355,1.06478411726744437,0.0234743568491132433,0.00274813806432228688,-1.06471223378184821
32.749869,0.00352054739503906674,-0.0049642462734267763,-0.00127043020817601063,-1.21026695628387571,0.0707184940932383821,0.0697389241225430112,0.00264461125153194181,1.06399541696042399,0.0236633331856885808,0.00272045801100021054,-1.06392137250988861
32.7998688,0.00347035085732267127,-0.00518613632249082749,-0.00120791345394051616,-1.24597493316254448,0.0733005135813574737,0.070732794023601997,0.00261684405611305312,1.0631761617168527,0.0238572756977016263,0.0026922216110406294,-1.06309999342422312
32.8498686,0.00341940167578764229,-0.00540555526679287537,-0.00114575803249794854,-1.28107005263275253,0.0758360669648027175,0.0717108578966154653,0.00258856526557746294,1.06232688618553817,0.024056088923290711,0.00266344494660195313,-1.06224863142890591
32.8998684,0.00336773013343064174,-0.00562243211505067831,-0.00108399668427841024,-1.31553822485094951,0.0783236635730381048,0.0726729257716982602,0.00255979095828790014,1.06144813882431821,0.0242596753482639052,0.00263414446115600547,-1.06136783521725331
32.9498682,0.00331536727258992725,-0.0058366962546189706,-0.00102266226557134608,-1.34936564407626891,0.0807619712981531013,0.0736188018451677806,0.00253053749590910048,1.06054048150755498,0.024467935473423616,0.00260433690906362956,-1.06045816688026129
32.999868,0.0032623448556541694,-0.00604827744645425758,-0.000961787553229865319,-1.38253879207305852,0.0831498154914722676,0.074548283952722727,0.00250082147249493019,1.05960448912558647,0.0246807678821367379,0.00257403930571691074,-1.05952020150698756
33.0498678,0.00320869531880881844,-0.00625710581982283701,-0.000901405056916272131,-1.41504444147528385,0.0854861770278745325,0.0754611630950918766,0.00247065966461531899,1.05864074917823281,0.0248980693080514681,0.00254326887853648142,-1.05855452677901529
