Time,/fdm/jsbsim/aero/alpha-rad,/fdm/jsbsim/aero/beta-rad,/fdm/jsbsim/aero/alpha-deg,/fdm/jsbsim/aero/beta-deg,/fdm/jsbsim/aero/Re,/fdm/jsbsim/aero/qbar-psf,/fdm/jsbsim/aero/alphadot-rad_sec,/fdm/jsbsim/aero/betadot-rad_sec,/fdm/jsbsim/aero/alphadot-deg_sec,/fdm/jsbsim/aero/betadot-deg_sec,/fdm/jsbsim/aero/coefficient/CDo,/fdm/jsbsim/aero/coefficient/CDDf,/fdm/jsbsim/aero/coefficient/CDwbh,/fdm/jsbsim/aero/coefficient/CDDe,/fdm/jsbsim/aero/coefficient/CDbeta,/fdm/jsbsim/aero/coefficient/CYb,/fdm/jsbsim/aero/coefficient/CYda,/fdm/jsbsim/aero/coefficient/CYdr,/fdm/jsbsim/aero/coefficient/CYp,/fdm/jsbsim/aero/coefficient/CYr,/fdm/jsbsim/aero/coefficient/CLwbh,/fdm/jsbsim/aero/coefficient/CLDf,/fdm/jsbsim/aero/coefficient/CLDe,/fdm/jsbsim/aero/coefficient/CLadot,/fdm/jsbsim/aero/coefficient/CLq,/fdm/jsbsim/aero/coefficient/Clb,/fdm/jsbsim/aero/coefficient/Clp,/fdm/jsbsim/aero/coefficient/Clr,/fdm/jsbsim/aero/coefficient/Clda,/fdm/jsbsim/aero/coefficient/Cldr,/fdm/jsbsim/aero/coefficient/Cmo,/fdm/jsbsim/aero/coefficient/Cmalpha,/fdm/jsbsim/aero/coefficient/CmDf,/fdm/jsbsim/aero/coefficient/Cmq,/fdm/jsbsim/aero/coefficient/Cmadot,/fdm/jsbsim/aero/coefficient/Cmde,/fdm/jsbsim/aero/coefficient/Cnb,/fdm/jsbsim/aero/coefficient/Cnp,/fdm/jsbsim/aero/coefficient/Cnr,/fdm/jsbsim/aero/coefficient/Cnda,/fdm/jsbsim/aero/coefficient/Cndr,/fdm/jsbsim/aero/h_b-cg-ft,/fdm/jsbsim/aero/h_b-mac-ft,/fdm/jsbsim/aero/function/ground-effect-factor-lift
59.8997604,0.0554655050036165498,-0.0028694649060195059,3.17793934526897814,-0.164408228575821103,1997778.18506146967,7.31281246902413695,0.000848290206161399934,5.8503713731093594e-05,0.0486034486153307174,0.00335201588263322548,33.3885466585716415,18.7810574954465466,71.0810361032817752,2.80579048144372134,0.508976084155007724,0.926502900534986074,0.647011830220446726,0.0771118822475769516,0.00265206018773747826,-0.0183783685939471267,569.500121062505855,365.187229078127302,-16.2268216176828552,0.0383302383189326606,1.58133425979180964,7.87589232314778531,0.994479564020131601,-0.374361957018759239,-87.8590304492948917,0.341451414592270741,419.23493898169022,-418.555396904036684,-251.540963389014109,-20.2018289980664854,-0.471092157259089095,240.504877961405271,-5.74864166351943062,0.0634774189800084016,0.255763879278279094,-2.02457765817940416,-0.998803457650859872,12.3931476161095908,12.3346373361346355,1
59.9497602,0.0555090070587549098,-0.00286609653961775439,3.18043182942855163,-0.16421523539714708,1997168.91526040412,7.30835448393248566,0.000871429516422930197,7.51553650692727394e-05,0.0499292334341601626,0.00430608522623425992,33.3681925685595857,18.7696083198147647,71.0764822959585558,2.80666532652902045,0.508068700412127372,0.924851165422382659,0.646295651330259568,0.0770648738465130601,0.00248834617406202109,-0.019420246689897263,569.394877246216311,364.964606218620418,-16.2318811384261679,0.0393637834262004077,1.57274998109819553,7.86185147353390423,0.933089463713678402,-0.395723678779340615,-87.7617790854386044,0.341243261392359831,418.979367938976281,-418.628316463151464,-251.38762076338574,-20.092163296987593,-0.483794791408035718,240.57986734919686,-5.73839319772404011,0.0595589019391709606,0.270263250220433071,-2.0223366484905414,-0.998194574140916391,12.3935872558908162,12.3350836283201133,1
59.99976,0.0555536899278269228,-0.00286189764742534594,3.18299196924291339,-0.163974656595891638,1996532.09577151854,7.30369667423007662,0.000894350832730460136,9.17003558453703612e-05,0.0512425281194660159,0.00525404336978753037,33.3469261273327149,18.757645946624649,71.0709886681427037,2.80745911170508577,0.507001037611114147,0.922907670015164827,0.645561032051366057,0.0770157583420713471,0.00232401544148563019,-0.0204450556834567393,569.280326057118714,364.732004517701512,-16.2364718626944118,0.0403862886546318342,1.56336942694934278,7.84533046690889702,0.87146810382022255,-0.416756346351791263,-87.6620236643191078,0.341025777938691876,418.712341186321396,-418.698280281948712,-251.227404711792815,-19.9723250340467935,-0.496361741549656288,240.647908497728764,-5.7263344565541443,0.0556256236480993094,0.284525077779946012,-2.02003793661257047,-0.997558398051955786,12.3941222395051298,12.3356252625845997,1
60.0497598,0.0555995421714313223,-0.00285687350922108002,3.18561910928265135,-0.163686794681096759,1995868.04739278136,7.29884157500424191,0.000917045371256310538,0.000108140170333235599,0.0525428293949942934,0.00619597535592023279,33.3247589094913721,18.7451768865888937,71.0645644389225595,2.80817251536528589,0.505774548689058134,0.920675059133968299,0.644808417619662344,0.0769645624661496469,0.00215916765435307956,-0.0214526979357009123,569.156568703909215,364.489550572561825,-16.2405977138625701,0.0413973306715638284,1.55319999589905544,7.82635178601153658,0.809652856852874692,-0.437458149133947261,-87.5598246454091935,0.340799082600110659,418.434004057301024,-418.76530298180586,-251.060402434380592,-19.8424087270968776,-0.508787804776109409,240.709059557071356,-5.71248185023986199,0.0516799695863537079,0.298548003157748598,-2.01768291574203795,-0.996895275632976641,12.3947517743187792,12.3362614424220851,1
60.0997596,0.055646551897784835,-0.0028510293313144296,3.18831256819877273,-0.16335194795232208,1995177.10449551977,7.29379182541864068,0.000939504340125580555,0.000124476288157203521,0.0538296335234191639,0.00713196596086203369,33.30170296482342,18.732207917713172,71.0572193525510301,2.80880626102287767,0.504390700906983902,0.918156003673599619,0.6440382487747498,0.0769113140481061108,0.00199390128485906837,-0.0224430861737907224,569.023711465459769,364.237376177756119,-16.2442628762489747,0.0423964880883475129,1.54224947839276361,7.80493813522804203,0.747680648287801675,-0.457827455946079598,-87.4552418776208214,0.340563298605013831,418.14450785206401,-418.829401025344396,-250.886704711238394,-19.7025139004764966,-0.521067802072175068,240.76338254485168,-5.69685195079341877,0.0477242966992213816,0.31233081181514244,-2.0152729650060448,-0.996205567347999477,12.3954750160840632,12.3369913196765975,1
60.1497594,0.055694706762405205,-0.00284437024744984505,3.19107163870454347,-0.162970410551457723,1994459.61482903874,7.28855016679577883,0.00096171893859950809,0.000140710160119754234,0.055102436259552974,0.00806209830947194825,33.2777708095494944,18.7187460803715915,71.0489636703080691,2.80936111681444656,0.502850975083230733,0.915353199207629808,0.643250961786978159,0.0768560419945398254,0.00182831356391992554,-0.0234161424130780345,568.881865607003306,363.975618229447605,-16.2474717922435481,0.0433833414910964749,1.5305260510559231,7.78111242873093722,0.685587938141908548,-0.477862793218220228,-87.3483346029773315,0.340318553951822256,417.844009727405876,-418.890592695518251,-250.706405836443508,-19.5527450120434558,-0.53319657869316095,240.810943303689527,-5.6794614833502024,0.0437609322218239505,0.325872418473201475,-2.01280944954686891,-0.995489647614173911,12.3962910699488997,12.3378139955548942,1
60.1997592,0.0557439939677789875,-0.00283690132093744607,3.19389558755645586,-0.162542472584803893,1993715.93932049302,7.28311944064985539,0.000983680356957539279,0.00015684318471177676,0.0563607328435892854,0.00898645252937560479,33.2529754173414815,18.7047986722545829,71.0398081620990354,2.80983789497801251,0.501156865022331366,0.912269364948787631,0.6424469885497196,0.0767987762685476416,0.00166250043674013985,-0.0243717968996386737,568.731147293811546,363.704418627172458,-16.250229159289507,0.0443574734999682557,1.51803827083634713,7.75489778164128474,0.623410704311010755,-0.497562823593864056,-87.2391614691435251,0.340064981317128923,417.532672583994042,-418.948898073710438,-250.519603550396397,-19.393211378341924,-0.545169004893492293,240.851811456461974,-5.6603273197188706,0.0397921726155964287,0.339171852396457307,-2.01029372081069857,-0.994747904533098137,12.397198990961602,12.3387285211344526,1
60.249759,0.0557944002630229169,-0.00282862754790720204,3.19678365553482324,-0.16206842030952176,1992946.45186759438,7.27750258666041461,0.00100537977645404389,0.000172876685373549285,0.0576040179986228931,0.00990510444811538299,33.2273302100706545,18.6903732431647427,71.0297640976854865,2.81023745130192992,0.499309877120455048,0.908907243030668388,0.641626756684474664,0.0767395478683568499,0.00149655652327342244,-0.0253099870767620437,568.571677501562817,363.423924172647787,-16.2525399266961585,0.0453184688286177514,1.50479506900350701,7.72631750392269812,0.561184427743372294,-0.516926325018638222,-87.1277805436981794,0.339802717961084078,417.210664950199714,-419.004339016200959,-250.326398970119811,-19.224027097942443,-0.556979976657416276,240.886060359064629,-5.63946647392423461,0.0358202826219173806,0.352228243009978792,-2.00772711687652317,-0.99398073961405542,12.3981977849542524,12.3397338982501452,1
60.2997588,0.0558459119435475507,-0.00281955386170202726,3.19973505742451136,-0.16154853638533917,1992151.53912904765,7.27170264060998672,0.00102680836924486443,0.000188811888572309664,0.0588317859264413726,0.0108181243370877225,33.2008490483914613,18.6754775897201917,71.0188432377640311,2.81056068455335462,0.497311530151571757,0.905269598118482954,0.640790689681942194,0.0766783888055780211,0.00133057508314889518,-0.0262306565786372195,568.403581925138951,363.134286466781532,-16.2544092923335661,0.0462659143391349753,1.49080574501373331,7.69539509707253,0.498944079287595432,-0.535952170377067438,-87.0142493332902802,0.339531905631099473,416.878160863865219,-419.056939130246406,-250.126896518319114,-19.0453109730687764,-0.568624416374206132,240.913767051421416,-5.61689609979252857,0.0318474944226124768,0.365040805894931986,-2.00511096289755875,-0.993188567492331753,12.3992864090474804,12.3408290800024218,1
60.3497586,0.0558985148507447488,-0.00280968513832855361,3.20274898199702918,-0.16098310018685702,1991331.60030494281,7.26572273225242249,0.00104795729928700379,0.000204649902728861469,0.0600435303590733938,0.0117255757041265906,33.1735462220088237,18.6601197498799607,71.0070578245676529,2.81080853587324864,0.495163355217428158,0.90135921731810309,0.639939207077293903,0.076615332082727125,0.00116464798501388382,-0.0271337542541357675,568.226990883248618,362.835661803221456,-16.2558426991336198,0.0471993991373620692,1.47607996023935684,7.66215425334879097,0.436724108196665683,-0.554639307734121179,-86.8986248074398873,0.339252690462315709,416.535339750098274,-419.106723747855767,-249.92120385005893,-18.8571864294865428,-0.580097274009640063,240.935012205625867,-5.59263349038633706,0.0278760069061701511,0.377608829202984275,-2.00244657164970175,-0.992371815638066312,12.400463772912417,12.3420129720227365,1
60.3997584,0.0559521943717074879,-0.00279902620292904426,3.20582459199447811,-0.160372388174362529,1990487.04691609927,7.25956608315336993,0.0010688177227108674,0.000220391698054605179,0.0612387445801166191,0.012627514138250473,33.145436439818333,18.6443079973978101,70.9944205723828077,2.81098198815375477,0.492866895857406784,0.897178910375856287,0.639072724647356427,0.0765504116704538995,0.000998865680199152034,-0.0280192332235446109,568.042039222046014,362.528211060513001,-16.2568458314892155,0.0481185146410667217,1.46062773157131542,7.62661885746840085,0.374558432252840967,-0.572986741237672237,-86.7809634253138142,0.338965222876769889,416.182386297468952,-419.153719899546559,-249.70943177848136,-18.6597814347753754,-0.591393527943877451,240.94988007257146,-5.56669607924537768,0.0239079850374153829,0.38993166052926026,-1.99973524414853587,-0.991530924061299612,12.4017287387706965,12.343284432477116,1
60.4497582,0.0560069354389959653,-0.00278758183723918328,3.20896102411614947,-0.159716674321129182,1989618.30257532001,7.2532360044729618,0.00108938078900741825,0.000236038087342035262,0.0624169214927566898,0.0135239862090389198,33.1165348197824727,18.6280508361276382,70.9809446576818459,2.81108206538623406,0.490423708309599526,0.892731510154017971,0.638191654634856387,0.0764836624841607887,0.000833317180430384911,-0.0288870499706898633,567.848866215353723,362.212099591370759,-16.2574246114837209,0.0490228546811682514,1.44445942489647772,7.58881299064923365,0.312480429409819738,-0.590993512730044857,-86.6613211661764069,0.338669657479863884,415.8194903308937,-419.197956286294243,-249.491694198536209,-18.453228415000563,-0.602508186215563013,240.958458426066983,-5.53910144333563181,0.0199455593240310501,0.402008694277817713,-1.99697827035102149,-0.990666345009125648,12.4030801234135861,12.3446422740889243,1
60.499758,0.0560627225304672003,-0.00277535678798848488,3.21215738900876158,-0.159016230594724584,1988725.80275487271,7.24673589471129986,0.00110963764233290617,0.000251589707735782827,0.0635775536945226982,0.0144150284221902358,33.0868568786370645,18.6113569942333505,70.9666437090674833,2.81110983198776543,0.487835361916434673,0.888019873368860346,0.637296405997098914,0.0764151203602295576,0.000668090039405291728,-0.0297371634727486948,567.647615463070451,361.887497110092909,-16.257585194995908,0.0499120156045752966,1.42758574845526498,7.54876093688424277,0.250522930884453487,-0.608658684114360526,-86.5397535631580581,0.338366152955096533,415.446846682386706,-419.239463250819483,-249.268108009432012,-18.2376641698554813,-0.613436287785737999,240.960838505105983,-5.50986730762938404,0.0159908253756034131,0.413839359551612496,-1.99417692993364204,-0.989778542657765326,12.4045166974448087,12.3460852633853779,1
60.5497578,0.0561195396691732337,-0.00276235577615990867,3.21541277126062663,-0.15827132748754752,1987809.99454786698,7.24006923740774955,0.00112957942290684401,0.000267047003527994648,0.0647201335573853037,0.0153006662337692983,33.05641852138681,18.5942354182800784,70.9515317969251527,2.81106639210249787,0.485103439659096303,0.883046881563834041,0.63638738466242406,0.076344822031761031,0.000503270338181772189,-0.0305695343697998147,567.438434786961125,361.554577577668226,-16.2573339676594451,0.0507855963773718028,1.41001774608282116,7.50648719121364305,0.188718215677545403,-0.62598132051675226,-86.4163157380798879,0.338054871956637804,415.064655059163158,-419.278272747559356,-249.038793035497861,-18.0132297863163124,-0.624172903806032631,240.957114953980494,-5.47901155114309901,0.0120458435538858769,0.425423108595488375,-1.99133249309488436,-0.988867992798328266,12.40603718767826,12.347612123099049,1
60.5997576,0.0561773704233632723,-0.0027485835070924637,3.21872622940177422,-0.15748223459566435,1986871.33642599871,7.23323959880658673,0.00114919726920414836,0.000282410209999222088,0.0658441533533571932,0.0161809131243587055,33.0252360306471573,18.5766952672390246,70.93562342291645,2.81095288888258565,0.482229538818260528,0.877815442312020133,0.635464993830209046,0.0762728051039596872,0.000338942673909557236,-0.0313841241758308701,567.221476124875835,361.213519085203302,-16.2566775407042847,0.0516431987198297526,1.39176679033955697,7.46201646994697487,0.127098006348398934,-0.642960474279309135,-86.2910624421917447,0.337735981000333418,414.673119909813352,-419.314418312135729,-248.803871945888005,-17.7800705508835435,-0.634713139278020533,240.947385760644835,-5.44655221439862114,0.00811263870308929526,0.436759405816105728,-1.98844622149398353,-0.98793518251798218,12.4076402773903958,12.3492215324240799,1
60.6497574,0.0562361979065720205,-0.00273404468135982287,3.2220967959090121,-0.156649221242107839,1985910.29799009231,7.22625062547444674,0.00116848231978365375,0.000297679338331375523,0.0669491053592591728,0.0170557697346347265,32.993326055766218,18.5587459063684932,70.9189335091344901,2.81077050374293735,0.479215271747921112,0.872328490624916353,0.634529634249300312,0.0761991080290104622,0.000175190152051046919,-0.032180894532798314,566.99689542202816,360.864503734942957,-16.2556227466466545,0.0524844272209338339,1.37284457553173755,7.41537372263885786,0.0656934660977579882,-0.659595169816278526,-86.1640480939809947,0.33740965035245829,414.272450287714491,-419.347935029167786,-248.563470172628683,-17.5383358604186803,-0.64505213446076648,240.931752192834608,-5.41250750816408832,0.00419319996368667982,0.447847717401011591,-1.98551936912217064,-0.986980609874537729,12.4093246070774104,12.3509121277772369,1
