Time,/fdm/jsbsim/forces/fbx-aero-lbs,/fdm/jsbsim/forces/fby-aero-lbs,/fdm/jsbsim/forces/fbz-aero-lbs,/fdm/jsbsim/forces/fwx-aero-lbs,/fdm/jsbsim/forces/fwy-aero-lbs,/fdm/jsbsim/forces/fwz-aero-lbs,/fdm/jsbsim/forces/fbx-gear-lbs,/fdm/jsbsim/forces/fby-gear-lbs,/fdm/jsbsim/forces/fbz-gear-lbs,/fdm/jsbsim/forces/fbx-total-lbs,/fdm/jsbsim/forces/fby-total-lbs,/fdm/jsbsim/forces/fbz-total-lbs,/fdm/jsbsim/forces/load-factor,/fdm/jsbsim/moments/l-aero-lbsft,/fdm/jsbsim/moments/m-aero-lbsft,/fdm/jsbsim/moments/n-aero-lbsft,/fdm/jsbsim/moments/l-gear-lbsft,/fdm/jsbsim/moments/m-gear-lbsft,/fdm/jsbsim/moments/n-gear-lbsft,/fdm/jsbsim/moments/l-total-lbsft,/fdm/jsbsim/moments/m-total-lbsft,/fdm/jsbsim/moments/n-total-lbsft
0.8999964,-87.4391087500916342,18.5504326021948991,-1134.12385530106462,128.487326668407462,15.105367039849277,1130.26079743742594,0,0,0,20.1445714637970212,18.5504326021948991,-1134.12385530106462,-0.986210951784936896,-2.8739252157725268,-98.5751845566908855,-45.7876942470981945,0,0,0,83.9971224340651332,7.0437283753443154,-42.3399725432924399
0.9499962,-87.9275167103984217,19.8243929005099275,-1133.75238822347251,129.006041369692696,16.0115438354632609,1129.8760128019735,0,0,0,19.6641168035169756,19.8243929005099275,-1133.75238822347251,-0.985863574670556742,-4.63117811410790736,-98.6252707578503589,-51.9579300595012441,0,0,0,82.2432122828356995,7.15626520937500743,-48.3254311179652092
0.999996,-88.4090379153317087,21.1045791490197132,-1133.46224233261182,129.535564378291099,16.9179350545366418,1129.57183794326784,0,0,0,19.1911714907051163,21.1045791490197132,-1133.46224233261182,-0.98558669426021106,-6.38982540931283083,-98.7883031849389397,-58.0274444081797682,0,0,0,80.4881404323860465,7.20883361939570477,-54.2050201884052854
1.0499958,-88.8812761681449217,22.3831772083993812,-1133.2496270371239,130.072731743375982,17.8187042064957808,1129.34458129138716,0,0,0,18.7280745173209766,22.3831772083993812,-1133.2496270371239,-0.985378831332220373,-8.14965220490372744,-99.0564604507491708,-63.9618062888673293,0,0,0,78.7320929824903857,7.20945316586345086,-59.9457273457387032
1.0999956,-89.3424549709146163,23.6526380897886384,-1133.09935893327838,130.614543926092438,18.7082718503145351,1129.17913558619921,0,0,0,18.2765338660780969,23.6526380897886384,-1133.09935893327838,-0.98522435418258858,-9.91042153056226383,-99.4242149511226216,-69.7285935969384951,0,0,0,76.9752735153733312,7.16349997311851894,-65.5163545798708782
1.1499954,-89.7900476707719122,24.9056995965854995,-1133.02459505802449,131.157969973317051,19.5813342747216481,1129.08876435823936,0,0,0,17.8389966678939089,24.9056995965854995,-1133.02459505802449,-0.985135007295579013,-11.6721585573262487,-99.8848713314391148,-75.2974940703285256,0,0,0,75.2176190917889187,7.07718190866394536,-70.8877257688901921
1.1999952,-90.2224297291762838,26.1354109666509231,-1133.02070498285389,131.699949113075832,20.432879790773498,1129.06894620281901,0,0,0,17.4169980968694347,26.1354109666509231,-1133.02070498285389,-0.985107880152161774,-13.4346468668460162,-100.430520632802939,-80.6403618924383636,0,0,0,73.4593045787261474,6.95760038254854862,-76.0326671884706258
1.249995,-90.6382066014990926,27.3351646081861333,-1133.08300896658466,132.237541150462903,21.2582049457272433,1129.11510589568661,0,0,0,17.0118351973146105,27.3351646081861333,-1133.08300896658466,-0.985138982408555686,-15.1977749010674188,-101.054113173754843,-85.7312939822422209,0,0,0,71.7003970294278759,6.81069433497745536,-80.9260919258958609
1.2999948,-91.0361999829066235,28.498720492052712,-1133.20690687518481,132.767948139042971,22.0529271966712521,1129.22274194050965,0,0,0,16.6245820882597286,28.498720492052712,-1133.20690687518481,-0.985224368471979695,-16.9614685886527283,-101.74916782344367,-90.5466797112014774,0,0,0,69.9409237570136497,6.64154855055897997,-85.545072571833316
1.3499946,-91.4154336788337361,29.6202286258453356,-1133.38797770206634,133.288531041717533,22.8129957791199089,1129.38752524296979,0,0,0,16.2561056216461566,29.6202286258453356,-1133.38797770206634,-0.985360232201130781,-18.7256703670861171,-102.509706036706319,-95.0652385026327238,0,0,0,68.1808940352562161,6.45447812001337695,-89.8688991777894302
