Time,/fdm/jsbsim/propulsion/tank/contents-lbs,/fdm/jsbsim/propulsion/tank[1]/contents-lbs,/fdm/jsbsim/propulsion/starter_cmd,/fdm/jsbsim/propulsion/magneto_cmd,/fdm/jsbsim/propulsion/active_engine,/fdm/jsbsim/propulsion/total-fuel-lbs,/fdm/jsbsim/propulsion/engine/pitch-angle-rad,/fdm/jsbsim/propulsion/engine/yaw-angle-rad,/fdm/jsbsim/propulsion/engine/advance-ratio,/fdm/jsbsim/propulsion/engine/blade-angle,/fdm/jsbsim/propulsion/engine/thrust-coefficient,/fdm/jsbsim/propulsion/engine/propeller-rpm,/fdm/jsbsim/propulsion/engine/helical-tip-Mach,/fdm/jsbsim/propulsion/engine/constant-speed-mode,/fdm/jsbsim/propulsion/engine/prop-induced-velocity_fps,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/engine/fuel-flow-rate-pps,/fdm/jsbsim/propulsion/engine/power-hp,/fdm/jsbsim/propulsion/engine/bsfc-lbs_hphr,/fdm/jsbsim/propulsion/engine/volumetric-efficiency,/fdm/jsbsim/propulsion/engine/map-pa,/fdm/jsbsim/propulsion/engine/map-inhg,/fdm/jsbsim/propulsion/engine/air-intake-impedance-factor,/fdm/jsbsim/propulsion/engine/ram-air-factor,/fdm/jsbsim/propulsion/engine/boost-speed,/fdm/jsbsim/fcs/throttle-cmd-norm,/fdm/jsbsim/fcs/throttle-pos-norm,/fdm/jsbsim/ap/throttle-cmd-norm
20.5499178,129.96485389348976,129.96485389348976,0,0,-1,259.92970778697952,0,0,0.607020874701719282,22,0.0615085387708796463,1329.50904475525613,0.397435826020756222,0,8.14483310654954096,108.329767054485075,0.00341119471428671288,21.947328868008853,0.320000000000000007,0.849999999999999978,35839.3751016570022,10.583388486128845,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
20.5999176,129.964768616914824,129.964768616914824,0,0,-1,259.929537233829649,0,0,0.606148629097888247,22,0.0615695959631478232,1329.31422088160662,0.397357514123139188,0,8.16088923055508531,108.404669001144882,0.00341099211936453199,21.948478177430033,0.320000000000000007,0.849999999999999978,35841.5363187060066,10.5840266947908983,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
20.6499174,129.964683345423339,129.964683345423339,0,0,-1,259.929366690846678,0,0,0.605273085037400738,22,0.0616308840473819494,1329.11789735288903,0.397278710836772742,0,8.1770320891247863,108.479664966797571,0.00341078826896492856,21.9496397649160215,0.320000000000000007,0.849999999999999978,35843.7175249260545,10.5846708062668835,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
20.6999172,129.964598079044464,129.964598079044464,0,0,-1,259.929196158088928,0,0,0.604394574061665968,22,0.0616923798156833805,1328.92013202051066,0.397199441320373881,0,8.19325584350143288,108.554722910448859,0.0034105833157860423,21.9508143687404313,0.320000000000000007,0.849999999999999978,35845.9188481426027,10.5853208583037333,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
20.749917,129.96451281780358,129.96451281780358,0,0,-1,259.929025635607161,0,0,0.603513433278791034,22,0.0617540596704846262,1328.72098564049702,0.39711973168279957,0,8.20955451691639837,108.629810671354718,0.00341037741490589179,21.9520027027392395,0.320000000000000007,0.849999999999999978,35848.1403774494029,10.5859768772108858,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
20.7999168,129.964427561722033,129.964427561722033,0,0,-1,259.928855123444066,0,0,0.602630005165812888,22,0.0618158996383930959,1328.52052175846416,0.397039608942514333,0,8.22592199631041865,108.704895978244494,0.00341017072346218525,21.9532054546613828,0.320000000000000007,0.849999999999999978,35850.382162918977,10.5866388777747833,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
20.8499166,129.964342310817244,129.964342310817244,0,0,-1,259.928684621634488,0,0,0.601744637364053814,22,0.0618778753845162302,1328.31880659569174,0.396959100987400448,0,8.24235203426334095,108.779946459162986,0.00340996340035996459,21.9544232848359684,0.320000000000000007,0.849999999999999978,35852.6442154029282,10.5873068631999132,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
20.8999164,129.964257065102743,129.964257065102743,0,0,-1,259.928514130205485,0,0,0.600857682467865639,22,0.061939962227249401,1328.11590893625498,0.396878236534768059,0,8.25883825113347569,108.854929652270386,0.00340975560598191351,21.9556568248437571,0.320000000000000007,0.849999999999999978,35854.9265064177598,10.587980825075082,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
20.9499162,129.964171824587964,129.964171824587964,0,0,-1,259.928343649175929,0,0,0.599969497807036789,22,0.0620012200877185296,1327.91190763543113,0.396797045091675737,0,8.27526215755462147,108.928205363893824,0.00340954750191723712,21.9569066763888827,0.320000000000000007,0.849999999999999978,35857.2289681108959,10.5886607433633824,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
20.999916,129.964086589263047,129.964086589263047,0,0,-1,259.928173178526094,0,0,0.599079930285879469,22,0.0620368027885648196,1327.70767046304854,0.396715722102275126,0,8.28858678945979932,108.956246604130229,0.00340934074629912912,21.9581804255966162,0.320000000000000007,0.849999999999999978,35859.5512843188189,10.5893465247015435,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
