Time,/fdm/jsbsim/atmosphere/wind-north-kts,/fdm/jsbsim/atmosphere/wind-east-kts,/fdm/jsbsim/atmosphere/wind-down-kts,/fdm/jsbsim/atmosphere/wind-x-kts,/fdm/jsbsim/atmosphere/wind-y-kts,/fdm/jsbsim/atmosphere/wind-z-kts,/fdm/jsbsim/accelerations/Ny,/fdm/jsbsim/accelerations/Nz
0.6499974,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925990621394582e-13,-5.14105560371875437e-16,4.03598124684532663e-15,0.0108112101468080396,0.993077671670879458
0.6583307,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76926068417142438e-13,-5.19224660659780516e-16,4.03191353060779271e-15,0.0109694133730029505,0.992969668377078896
0.666664,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.7692614901311833e-13,-5.2441996221880605e-16,4.02770227362592257e-15,0.011128994533392958,0.992862591456155852
0.6749973,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76926232428019146e-13,-5.29700958793030621e-16,4.02334465770612617e-15,0.0112899182842032507,0.99275651596663439
0.6833306,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76926318677552282e-13,-5.35077175003846708e-16,4.0188379091339546e-15,0.0114521493115021678,0.992651513645958494
0.6916639,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76926407774348648e-13,-5.40558164527892176e-16,4.01417929962880644e-15,0.0116156523354675727,0.992547652944292258
0.6999972,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76926499727873162e-13,-5.46153508284236277e-16,4.00936614718394703e-15,0.0117803921144176722,0.992444999064581168
0.7083305,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76926594544333567e-13,-5.51872812629416298e-16,4.00439581679662688e-15,0.0119463334486402048,0.992343614006180208
0.7166638,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76926692226586044e-13,-5.57725707562387239e-16,3.99926572109364203e-15,0.0121134411840901519,0.992243556614582967
0.7249971,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76926792774038935e-13,-5.63721844937767927e-16,3.99397332085670283e-15,0.0122816802160140293,0.992144882633834713
0.7333304,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76926896182553332e-13,-5.69870896689090694e-16,3.98851612545275437e-15,0.0124510154924938211,0.99204664407864418
0.7416637,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76927002444501543e-13,-5.76182553048403244e-16,3.98289168605025787e-15,0.0126214120890860912,0.991948583073744339
0.749997,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76927111548534348e-13,-5.82666520766558126e-16,3.97709760151406578e-15,0.0127928351611624608,0.991852159432653258
0.7583303,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76927223479173057e-13,-5.89332521374812382e-16,3.97113153193019987e-15,0.0129652498301515706,0.991757368296958042
0.7666636,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76927338216933009e-13,-5.96190289469435306e-16,3.96499118834164354e-15,0.0131386212993299251,0.99166425037071515
0.7749969,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76927455738207118e-13,-6.03249570982005579e-16,3.95867433287664371e-15,0.0133129148345594341,0.991572842294338619
0.7833302,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.7692757601515175e-13,-6.10520121459846158e-16,3.95217877858302091e-15,0.0134880957753229242,0.991483178071531968
0.7916635,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76927699015569364e-13,-6.18011704352646588e-16,3.94550238920978253e-15,0.013664129539287629,0.991395289110795663
0.7999968,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76927824702787065e-13,-6.25734089311027193e-16,3.93864307893225613e-15,0.0138409816256456104,0.991309204307118108
0.8083301,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76927953035531879e-13,-6.33697050492357931e-16,3.93159881202545919e-15,0.014018617618260289,0.991224950122051918
0.8166634,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76928083967802839e-13,-6.41910364875279361e-16,3.92436760248959448e-15,0.0141970031888461658,0.991142550665581989
0.8249967,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76928217448739041e-13,-6.50383810585079037e-16,3.9169475136307429e-15,0.0143761041002253617,0.991062027776523413
0.83333,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76928353422484211e-13,-6.59127165227084105e-16,3.90933665760101516e-15,0.014555886209643043,0.990983401103369688
0.8416633,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76928491828047738e-13,-6.68150204229369851e-16,3.90153319490118209e-15,0.0147363154721619899,0.99090668818477079
0.8499966,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76928632599161772e-13,-6.77462699194770502e-16,3.89353533384914641e-15,0.0149173579440801552,0.99083190452907377
0.8583299,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76928775664134584e-13,-6.87074416263437293e-16,3.88534133001742505e-15,0.0150989797863614033,0.990759063693535391
0.8666632,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76928920945700819e-13,-6.96995114482985668e-16,3.87694948564292333e-15,0.0152811472681490118,0.990688177362956002
