Time,/fdm/jsbsim/atmosphere/wind-north-fps,/fdm/jsbsim/atmosphere/wind-east-fps,/fdm/jsbsim/atmosphere/wind-down-fps,/fdm/jsbsim/atmosphere/wind-mag-fps,/fdm/jsbsim/atmosphere/psiw-rad,/fdm/jsbsim/atmosphere/wind-x-fps,/fdm/jsbsim/atmosphere/wind-y-fps,/fdm/jsbsim/atmosphere/wind-z-fps,/fdm/jsbsim/atmosphere/wind-north-kts,/fdm/jsbsim/atmosphere/wind-east-kts,/fdm/jsbsim/atmosphere/wind-down-kts,/fdm/jsbsim/atmosphere/wind-mag-kts,/fdm/jsbsim/atmosphere/psiw-deg,/fdm/jsbsim/atmosphere/wind-x-kts,/fdm/jsbsim/atmosphere/wind-y-kts,/fdm/jsbsim/atmosphere/wind-z-kts
78.8996844,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92025685208887472e-13,-5.3538517378586901e-14,3.27733489735686586e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73020546075302485e-13,-3.17207149305346822e-14,1.94176848932558525e-14
78.9496842,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92040494669166104e-13,-5.35371824945260917e-14,3.26433091413445733e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73029320443566205e-13,-3.17199240330867991e-14,1.93406383733003981e-14
78.999684,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92055219628321353e-13,-5.35362678758670896e-14,3.25128094377767541e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73038044746266341e-13,-3.1719382136165237e-14,1.9263319386931724e-14
79.0496838,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92069849254808719e-13,-5.35357757079580272e-14,3.23819385364948556e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73046712565886092e-13,-3.17190905345538045e-14,1.91857804718566179e-14
79.0996836,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92084372469069921e-13,-5.35357079482285177e-14,3.22507891623196847e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73055317337964421e-13,-3.17190503879982229e-14,1.91080765660478172e-14
79.1496834,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92098778638788252e-13,-5.35360663200667247e-14,3.21194518705160276e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73063852763023815e-13,-3.17192627175784145e-14,1.90302613220508197e-14
79.1996832,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92113057603884487e-13,-5.35368522852344299e-14,3.19880148252356876e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73072312821379899e-13,-3.17197283893648371e-14,1.89523869757149423e-14
79.249683,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92127199640249072e-13,-5.35380670190358376e-14,3.18565641269128034e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73080691751653341e-13,-3.1720448099706431e-14,1.88745045401698064e-14
79.2996828,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92141195422086728e-13,-5.35397113892167698e-14,3.17251841519368288e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73088984028459631e-13,-3.17214223627287068e-14,1.87966640070761396e-14
79.3496826,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92155035986058946e-13,-5.35417859387492849e-14,3.1593957875431506e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73097184341164158e-13,-3.17226515001339314e-14,1.8718914537867161e-14
